unit_id,source,source_detail,url,retrieved_at,text,platform_mentioned,query_matched,source_genre,vertical
apps_947c6807cf36,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:13+00:00,"Account Deactivation and Unresolved Complaints
I am writing to tell you about my deep dissatisfaction with the service I have received from Myntra and to formally escalate the issues surrounding the sudden deactivation of my account without any explanation. On October 2nd, I raised a complaint regarding a perfume order that arrived with an empty box. I was assured a resolution by October 5th; however, my complaint was marked as resolved despite not receiving any resolution. When I re-raised the issue on October 5th, I was assured again that it would be resolved by October 9th, but unfortunately, no action has been taken. On october 10th, I logged into my account only to find that it has been deactivated without any explanation. As a loyal and Elite customer, I frequently shop on your platform, and I currently have Rs 4000 in Myntra credits (from a gift card) at stake. This sudden deactivation not only jeopardizes my funds but also disrupts my ongoing orders and wishlist items. I’ve reached out to the customer care multiple times through calls and emails (customer grievances, support, communication) but haven’t received response from anywhere. My continued patronage of Myntra is contingent upon a satisfactory resolution of these issues. I won’t recommend this app to people.I believe it is crucial for potential customers to be aware of the service shortcomings I have encountered.",Myntra,wishlist,app_review,beauty
apps_64e5ffad2a50,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:14+00:00,"Irresponsive servic & fooling customers
I ordered around 5k items , my items were reached nearest hub and about to deliver today, but suddenly I checked myorders and I got to know that "" my orders were cancelled as per my request "" itseems .how shameful to service- problem was there at myntra end and showing that problem as I cancelled itseems . i called customer care and they clearely told it was there Delivery technical issue and product was not deliverd. They said to reorderd again. How can reorder as I was planned to buy these items for my festival. Hello myntra - should I order items after my festival ah ? Be responsive for the customers on there booked items until it reaches the customer home. Or else update evrything to customer if it was unable to deliver. Dear Myntra u had good fame in market. Dont loose it with one customer . As a small hole can make myntra a loopHole to universe bigbang theory effect.
And Iam unsatified with myntra. I spread negative only to my surrondings bcz they should also never disatisfiy from u in further. I am chaging my shooping service App and make to change to another shopping service App.",Myntra,meant to buy,app_review,unclear
apps_edd6ed159387,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:14+00:00,"Use Myntra app❤️❤️❤️❤️
I’ve been using the Myntra app for over 2 years now and it has genuinely become my go-to fashion app. The interface is super smooth, clean, and incredibly easy to navigate — even my mom who isn’t very tech-savvy finds it simple to use.
What I love the most:
• Huge collection of original brands and trendy styles. From casual wear to ethnic, sportswear to party dresses — everything is available.
• The filters are actually useful! Size, color, brand, price, discount % — I can find exactly what I want in seconds.
• Lightning-fast search and excellent recommendations. It really understands my taste now.
• Great offers and bank discounts almost every week. I’ve saved so much money during their End of Reason Sale and Big Billion Days.
• Super convenient COD + easy returns. Return pickup is hassle-free and refunds are quick.
• Quality of images and product descriptions are top-notch. What you see is almost always what you get.
• Wishlist and “Save for later” features are perfect for tracking favorite items.
Delivery is usually on time (often earlier than promised), and the packaging is neat. Customer support is responsive too.
If you love fashion and want a premium yet affordable shopping experience, just download the Myntra app. You won’t regret it! 💖
Highly recommended! 5/5 🔥",Myntra,wishlist; saved for later,app_review,fashion
apps_254c2b7cb1e4,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:15+00:00,"‘Wishlist’ option box
Most of the navigations and functions on the app are good. What I really miss is the ‘Wishlist’ option in the first 4 boxes. Like most of my friends and colleagues, I usually don’t use the ‘insider’ or ‘coupons’ option frequently. Even ‘help centre’ is rarely used. Most of these offers are valid on items that we don’t buy or use. 
But I really miss the ‘Wishlist’ option in the first screen before the break. It should, ideally, be next to the ‘orders’ option as many times you keep the items in your Wishlist and then keep visiting it frequently while placing order. Even after scrolling, it is not highlighted and it become frustrating to look for it. 
In the desktop version, it is nicely placed under the ‘orders’ which according to me is the best placement. 
TY",Myntra,wishlist,app_review,unclear
apps_f007322e49ab,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:16+00:00,"Loss of Account data
This regarding my data loss issue. The app automatically got connected with my another email ID and all my data i.e. my insider points,order history and wishlist was wipped out. I reached out to customer support and at first they told me that everything will be fine they will deactivate the new account and I'll be able to login again to my old account. However they deactivated my account and the response that I receive from customer support now is that they don't have any feature to reactivate the account. This is the worst response that I ever received from customer support. I had 2500 insider points but now am never going to use this app again. Because accounding to customer support I should get a new number and then create a new account to keep using the app. Who buys a new number specially to use a app? 
Never faced this type of technical glitch with any other eCommerce apps.",Myntra,wishlist,app_review,unclear
apps_ccea6075fe1f,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:16+00:00,"Fashion at Your Fingertips – Myntra Review
Myntra is one of India’s leading online fashion and lifestyle platforms, offering a wide variety of clothing, footwear, accessories, and beauty products for men, women, and kids. It stands out for its trendy collections, user-friendly app, and smooth shopping experience.

The platform regularly offers exciting deals, discounts, and seasonal sales, making branded fashion more affordable. Product filters, size guides, and customer reviews make it easier to find the right items. Delivery is generally fast, and the packaging is neat and professional.

Myntra’s return and exchange policy is hassle-free, with doorstep pickup and quick refunds. The app also features a wishlist, style recommendations, and personalized feeds to enhance the shopping journey.

However, during sale periods, users may experience delayed deliveries or out-of-stock issues. Still, Myntra’s customer service usually resolves concerns promptly.

In summary, Myntra is a go-to destination for fashion lovers looking for variety, quality, and convenience—all in one place.",Myntra,wishlist,app_review,mixed
apps_df223373f02b,appstore,Myntra (iOS),https://itunes.apple.com/in/review?id=907394059&type=Purple%20Software,2026-08-24T02:30:16+00:00,"Wrong pricing and no support from customer care
I recently had a disappointing experience with Myntra. I had added Adidas SL72 shoes (size 8) to my wishlist, where the price was clearly showing as ₹5,499. But the moment I tried adding them to my cart, the price jumped to ₹6,999.

I called customer care to clarify, and they asked me to send screenshots over email and told me it would take 24 hours to review. When I asked if I could still purchase the product at the wishlist price of ₹5,499, the response was “No, it depends on the current product price at the time of purchase.”

This makes no sense — if the app shows a lower price in the wishlist, why can’t customers buy it at that rate? There’s no proper resolution offered, which leaves customers frustrated and confused. Myntra should fix this glitch or at least honor the price shown in the wishlist.",Myntra,wishlist,app_review,fashion
apps_435307c289a4,appstore,AJIO (iOS),https://itunes.apple.com/in/review?id=1113425372&type=Purple%20Software,2026-08-24T02:30:48+00:00,"criminally underrated!
I LOVE THIS APP! I was a bit apprehensive initially because of all the negative reviews I’ve read but honestly, personally, I have nothing to say other than good things! The catalogue is trendy and different to what is offered by other sites, the prices are reasonable and the delivery time is quicker than expected! That being said, I do wish some improvements can be made to the app in general. For example, the limit for how many items we can wishlist/add to bag at one time is unnecessarily stringent. Also, when you move from this app to another, it reboots - meaning you lose all the progress you made in terms of navigation. Although, while not necessarily a problem, AJIO would benefit greatly by adding a proper makeup category! Because at the moment one has to switch to another app for makeup. Once these issues are resolved I think AJIO will very well become my go-to fashion shopping app!",AJIO,wishlist; added to cart / bag,app_review,mixed
apps_1651ebfdb200,appstore,AJIO (iOS),https://itunes.apple.com/in/review?id=1113425372&type=Purple%20Software,2026-08-24T02:30:48+00:00,"Unreliable and Cheats
Been using this app for a few years now so I’m pretty qualified to have an opinion on it. Earlier it was a great app even though it has crashing issues on ios since inception and even the latest version seems to be having the same issues. Looking beyond that, I had a very good experience with Ajio for a fairly long time but in the last year or so it’s the complete opposite! I’ve ordered a lot of things from sneakers to jeans etc. got good discounts. However, now it seems the prices are inflated and the so-called sale is just a farce. First of all the products will be sold out (within a minute, really?!) and even if you are able to add to cart and buy, Ajio will arbitrarily cancel the order and give no reason or compensation for the cancellation, it’s not a once off thing for them. I have decided I’ll pay a little bit extra but buy elsewhere till they sort their business and attitude out. Can not in good conscience recommend this app to anyone till then.",AJIO,added to cart / bag,app_review,fashion
apps_15cf92044cf8,appstore,AJIO (iOS),https://itunes.apple.com/in/review?id=1113425372&type=Purple%20Software,2026-08-24T02:30:48+00:00,"Good UI but not enough
UI looking and navigation looking good. Experienced the new kind of UI other than the usual ones now a days. All good, but experienced few below snags.
1. Product full details like colour not showing after placing order in order page. I felt it’s a major one to address asap because user should be able to his product full details at any time in order page to revalidate what he ordered.
2. App rebooting if switches between other apps frequently. It’s annoying since user view is vanishing and starting from beginning.
3. Limiting the wish list.
Overall experience good. If AJIO address the above asap then user experience will be great enough.",AJIO,wishlist,app_review,fashion
