unit_id,source,source_detail,url,retrieved_at,text,platform_mentioned,query_matched
play_ee3e49d1e760,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=47b8d8de-10aa-4cc9-a64e-381c05aed50f,2026-08-22T15:54:12+00:00,"app is extremely slow , it takes forever to search something and then lands on ""oops something went wrong"" (It is not my network issue). once clicked on any item, it opens as a 3/4th page pop up(shows double click to wishlist) - why do I need to put in wishlist, if I couldnt even see the photos properly.",Myntra,wishlist
play_c1c56d43011f,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=38a151a8-e415-48ee-b4e9-188c1f93013a,2026-08-22T15:54:12+00:00,"I have given so many reviews but I never got any prize... this is just a scam... if you are not willing to provide any prize then why have you written there that you will get a reward..... stop scamming people...... also whenever I open my wishlist, the app functions slow... I click on the wishlisted product and it takes too much time to open",Myntra,wishlist
play_5608d43108bb,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ed5a41ba-5b82-4cdf-81c9-8842c4e5d991,2026-08-22T15:54:12+00:00,2 days ago I shortlisted few nikes to buy but I didn't order it because at that moment I was a bit busy with my work and I saw sale is for few days. Today I wanted to order a what the all discounts of sale are gone for those shoes Why??? sale is still going to last 4 hours so why those offers a deducted??? is the sale over?? No so why can't you guys continue with the sale offers. Another thing give us price list check like Amazon did to review recent prices.,Myntra,shortlisted
play_3a83761ec513,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=507ce767-900a-4ba4-b6e1-6749fa1c2ff3,2026-08-22T15:54:12+00:00,"What happened to Myntras wishlist category? it save a lott of time. sometimes I only open wishlist products, do quick search and order. please bring it back",Myntra,wishlist
play_720a2cca675c,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=1fe282b8-0168-43a6-9cb2-2abf1769180f,2026-08-22T15:54:12+00:00,"if I have several items added to cart, now when I go to see details of an individual item and then return back to cart, the page resets at the top of the cart. can you please fix it so that it comes back to where I left off. its not a big deal but when U have several items in cart, its kind of annoying.",Myntra,added to cart / bag
play_bd2f691f7904,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=85f9c08f-79ef-45c1-a793-835a9fc47b62,2026-08-22T15:54:12+00:00,"App sucks after update removing and adding item in cart takes a very long time. After clicking the x mark to remove items from cart the remove or move to wishlist pop up takes a very long time to display. Then clicking remove take another minute. The app became trash. Sent the mail with registered mobile number and got response that they are unable to find the account, bravo👏",Myntra,wishlist
play_a961a96b3656,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=a835d4e8-14ad-4d9d-bbbd-21101d9d9521,2026-08-22T15:54:12+00:00,"good but the price is very high according the product if you want to buy you can take from meesho,flipkart and if you're going to buy they will not give the option add to Cart they will give BAG option it's lot of hassle and they didn't featured direct buy and very high price according other apps don't use its waste",Myntra,added to cart / bag
play_6d73d9d2e8b3,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=3982e971-5bb0-421f-86cf-587c76451741,2026-08-22T15:54:12+00:00,"I have felt quite cheated. Every time I view a product or add it to my wishlist, the price refuses to drop. Frequently, I see prices decrease for every size except the one I actually need. This consistent pattern is making me consider leaving the platform entirely.",Myntra,wishlist
play_2bb85e6004e6,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ac1271d1-a861-426e-adde-953a9c06eb5f,2026-08-22T15:54:12+00:00,"I think they shouldn't charge us for COD when they're already taking platform and delivery charges or else the app is quite ok, though I would love if they can increase the capacity of wishlist inventory. Love this app regardless",Myntra,wishlist
play_75b773b74f33,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=71fc02ba-7221-4494-a4ad-8d75053b5e4f,2026-08-22T15:54:12+00:00,awesome app to shop on this price is so low and super deals on this app and I add the products on the cart it will get the free products and we can add to cart and we can buy the three product also this is the best app to purchase the product I will thanks for the Myntra it's the best deals and now was going a sell up to 80 to 90% shop now,Myntra,added to cart / bag
play_852f01565e52,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=65f2457e-cdbf-4bfc-a4dc-01c3ea82188e,2026-08-22T15:54:12+00:00,"Myntra is a great fashion shopping app with a huge collection of trendy clothes, footwear, beauty products, and accessories. The app is easy to use, offers frequent discounts, fast delivery, and genuine branded products. Its smooth interface, wishlist feature, and easy return policy make online shopping simple and enjoyable. Perfect for finding stylish outfits at affordable prices",Myntra,wishlist
play_6c2eccfbbc4f,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=80b4fdf4-eb2f-4d3f-8cd6-4a32cd94c67f,2026-08-22T15:54:12+00:00,"actually I love this app before, but now a days it's testing my calmness, whenever the price drops or any sale like EROS now, they don't allow me to get what I want, always it comes with not deliverable option in most of the products in my wishlist, fed up😫",Myntra,wishlist
play_b6f7f224aa2f,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=c03d949d-6061-48db-b6bc-e0f85d2d62da,2026-08-22T15:54:12+00:00,"Everything on Myntra is great, but the wishlist has a limit. Please remove the wishlist limit.",Myntra,wishlist
play_a5d2a85eed38,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=0e9d85a7-187b-49ce-a8a9-81a1713dc83d,2026-08-22T15:54:12+00:00,Very Bad Experience....Ordered a product (Pre-paid) .... Application got deleted...Faced problems while login and all my items in wishlist and orders got deleted...I informed it via customer care..Got no response.... Worst Service,Myntra,wishlist
play_cef7ce46c982,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=90db46cb-8b5a-4c65-9c48-d83ec7b9d462,2026-08-22T15:54:12+00:00,"Myntra is my go-to app for fashion shopping, and for good reason. The UI is clean and super easy to navigate: filters actually work, size guides are accurate, and the wishlist + cart sync instantly across devices. *What I love:* - *Variety*: Huge range of brands from H&M and Nike to local labels and Myntra’s in-house collections. Good mix of budget and premium. - *Sales & deals*: Myntra End of Reason Sale is wild. Plus daily deals, bank offers, and Myntra Insider points",Myntra,wishlist
play_75b1c6e3d915,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ffa695e7-3ff2-4660-8a67-9cb97e5f9171,2026-08-22T15:54:12+00:00,"myntra is really scammer. Item in wishlist is shown at almost 50% discount. once you add it in cart, discount reduces to 30%. worst experience.",Myntra,wishlist
play_92ebc0642605,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=b2652b65-27b1-46b9-a85d-2ffad1b13d6d,2026-08-22T15:54:12+00:00,Worst online shopping app ever I used....item i add to wishlist is always showing unable to deliver to the available pincode...such a big platform still so much inquiries!!!,Myntra,wishlist; added to wishlist
play_2ea906c6569c,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=18c52668-fade-46a0-9aeb-b67bec724a84,2026-08-22T15:54:12+00:00,"fast and comfortable delivery, arrived order is exactly on wishlist",Myntra,wishlist
play_85b93bf3b685,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=9a055d5a-e421-407b-9282-1f7befba5694,2026-08-22T15:54:12+00:00,"worst experience, every time tutorial double tap to wishlist just fed-up.",Myntra,wishlist
play_213c13f1c0e8,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=ffaed538-a0e9-4bf6-99b9-563a4692de0c,2026-08-22T15:54:13+00:00,prices get increased after adding the product to the wishlist specially for the luxury brands.,Myntra,wishlist
play_69e2b2858326,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=dee4b286-2e7f-4c61-8e2e-893233ac4502,2026-08-22T15:54:13+00:00,hey myntra recently I added some clothes in my myntra wishlist and all of them are showing unavailable delivery for my address I am using myntra for a decade now it never happened what's wrong with you myntra almost 20 or 30 items are showing delivery unavailable for my address I am so disappointed with you,Myntra,wishlist
play_2de0c2e7a78a,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=b7b62daf-ae91-4e62-a40e-3064d8ef268f,2026-08-22T15:54:13+00:00,"scamming customer. If I add something in wishlist, and try to buy they suddenly increase there price. this is second time",Myntra,wishlist
play_fa396993b54f,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=b2ff27c9-18ec-4d65-8c29-39ea2f338f69,2026-08-22T15:54:13+00:00,i add item on wishlist it shows a lower price and when I try to purchase it shows more.,Myntra,wishlist
play_9e050692ebfe,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=0ab8cd0c-f9d5-4abb-9d5e-12ae3ea04b7e,2026-08-22T15:54:13+00:00,"Hi., recently planned to buy an woodland sandle... 5000 product with discount it came to 3500 ... but this myntra didn't provide us that product by cancelling the order.. don't buy ur desired product from this app.. better to buy from original website . They will make you fool. they will provide you the offer and tends to decrease the price amount. until the offer ends they will not deliver that product. After offer ends either ur product got cancelled or seller didn't provide the product.",Myntra,meant to buy
play_2c652b4edc85,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=2d97562d-e37e-4445-8c2e-a1f7dcb834b6,2026-08-22T15:54:13+00:00,"Increases the price of items that are on your wish list.Size chars are always confusíng.You almost every time get the sizes of çlothes wrong .Their delivery partner is the worst,you won't get your order on expeçted date or.You will get wrong order or defective ones.They will always delay your order.Myntra as an app is handy to use but the products, though many,won't be as shown in the app.Lower your expectations.There are way too many features and offers to extract money from you.Don't be a fool",Myntra,wishlist
play_32de93f7ea16,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=9ec616fb-30c8-4b1a-badd-cc172e7d0da2,2026-08-22T15:54:13+00:00,"I have one suggestion for a future update regarding the wishlist feature. Removing products from the wishlist is currently quite slow, especially when there are many items. It would be much more convenient to have a ""Select All / Deselect All"" option along with a bulk delete feature. This would allow users to quickly clear out wishlist items that are out of stock or no longer needed, instead of removing them one by one. I believe this would significantly improve the user experience. Thank You",Myntra,wishlist
play_937a60e34159,playstore,Myntra (Android),https://play.google.com/store/apps/details?id=com.myntra.android&reviewId=5b25b802-3251-45fd-b783-d2801c3d313c,2026-08-22T15:54:13+00:00,It was great until the last update. Somehow the option to create new collections OR view existing collections is gone. I had spent so much time in creating and saving no of products into it because wishlist only supports limited no of items. Suddenly collections are gone. Looks like Myntra wishlist has a limit. I have about 1000 products in it and it now says can't wishlist more products because maximum has reached. Bad user experience.,Myntra,wishlist
