query_string,source,timestamp,raw_results_returned,units_retained,method,notes
wishlist,appstore,2026-08-24T02:30:17+00:00,1000,6,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved for later,appstore,2026-08-24T02:30:17+00:00,1000,1,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
added to wishlist,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
shortlisted,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved items,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved it but,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
added to cart / bag,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
meant to buy,appstore,2026-08-24T02:30:17+00:00,1000,1,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
never bought it,appstore,2026-08-24T02:30:17+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Myntra / id=907394059 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
wishlist,appstore,2026-08-24T02:30:49+00:00,1000,4,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved for later,appstore,2026-08-24T02:30:49+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
added to wishlist,appstore,2026-08-24T02:30:49+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
shortlisted,appstore,2026-08-24T02:30:49+00:00,1000,1,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved items,appstore,2026-08-24T02:30:49+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
saved it but,appstore,2026-08-24T02:30:49+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
added to cart / bag,appstore,2026-08-24T02:30:49+00:00,1000,3,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
meant to buy,appstore,2026-08-24T02:30:49+00:00,1000,1,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
never bought it,appstore,2026-08-24T02:30:49+00:00,1000,0,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,AJIO / id=1113425372 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
wishlist,appstore,2026-08-24T02:31:20+00:00,1000,2,Apple first-party RSS customer-reviews endpoint + local behaviour-anchored regex filter,Nykaa Fashion / id=1439872423 / storefront=in / sorts=mosthelpful+mostrecent / Apple RSS hard-caps at page=10 per sort
